source_id,citation,category,finding,evidence_strength,url
JT1993,"Jegadeesh and Titman (1993), Returns to Buying Winners and Selling Losers",Foundational empirical evidence,Documents medium-horizon continuation in U.S. equities using winner-minus-loser relative-strength portfolios.,Strong foundational,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-6261.1993.tb04702.x
CARHART1997,"Carhart (1997), On Persistence in Mutual Fund Performance",Factor-model integration,"Adds a one-year momentum factor to mutual fund performance evaluation and links persistence to factor exposures, expenses, and costs.",Strong applied/factor-model relevance,https://onlinelibrary.wiley.com/doi/10.1111/j.1540-6261.1997.tb03808.x
HONGSTEIN1999,"Hong and Stein (1999), A Unified Theory of Underreaction, Momentum Trading and Overreaction",Theoretical foundation,Provides gradual-information-diffusion theory that can generate underreaction and trend-chasing behavior.,Strong theoretical relevance,https://ideas.repec.org/a/bla/jfinan/v54y1999i6p2143-2184.html
DHS1998,"Daniel, Hirshleifer and Subrahmanyam (1998), Investor Psychology and Security Market Under- and Overreactions",Theoretical foundation,Models overconfidence and biased self-attribution as behavioral mechanisms behind under- and overreaction patterns.,Strong theoretical relevance,https://onlinelibrary.wiley.com/doi/abs/10.1111/0022-1082.00077
AMP2013,"Asness, Moskowitz and Pedersen (2013), Value and Momentum Everywhere",Cross-market evidence,"Reports value and momentum premia across multiple asset classes and markets, with common factor structure.",Strong broad-market evidence,https://onlinelibrary.wiley.com/doi/10.1111/jofi.12021
FF2012,"Fama and French (2012), Size, Value, and Momentum in International Stock Returns",International equity evidence,"Reports momentum outside Japan across major regions, with size-related qualifications.",Strong with regional qualifications,https://ideas.repec.org/a/eee/jfinec/v105y2012i3p457-472.html
DANIELMOSKOWITZ2016,"Daniel and Moskowitz (2016), Momentum Crashes",Risk and failure mode,"Documents severe episodic losses in momentum, especially around panic/rebound states, and partial forecastability of crashes.",Strong risk qualification,https://ideas.repec.org/a/eee/jfinec/v122y2016i2p221-247.html
NOVYMARX2012,"Novy-Marx (2012), Is Momentum Really Momentum?",Definition challenge,Argues momentum is driven substantially by intermediate-horizon returns rather than the most recent prior returns.,Important definition qualification,https://www.sciencedirect.com/science/article/abs/pii/S0304405X11001152
HLZ2016,"Harvey, Liu and Zhu (2016), ...and the Cross-Section of Expected Returns",Multiple-testing critique,Argues factor discovery requires higher statistical hurdles due to extensive multiple testing in asset pricing.,Strong methodological warning,https://academic.oup.com/rfs/article/29/1/5/1843824
MP2016,"McLean and Pontiff (2016), Does Academic Research Destroy Stock Return Predictability?",Post-publication evidence,Finds average out-of-sample and post-publication decay in published return predictors.,Strong replication/decay warning,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2156623
HXZ2020,"Hou, Xue and Zhang (2020), Replicating Anomalies",Large-scale replication critique,"Finds many published anomalies fail under stricter replication standards, microcap controls, and multiple-testing hurdles.",Strong methodological warning,https://academic.oup.com/rfs/advance-article/doi/10.1093/rfs/hhy131/5236964
CZ2022,"Chen and Zimmermann (2022), Open Source Cross-Sectional Asset Pricing",Replication infrastructure,Provides open-source replicated signals and test assets for cross-sectional asset pricing research.,Strong reproducibility infrastructure,https://www.openassetpricing.com/
