claim,status,evidence_source,scope_limit
"Industry Momentum is justified as an independent research construct","Supported","RP-001 and LR-001","Scientific relevance alone does not prove predictive or economic validity"
"ISM-001 faithfully implements the frozen construct","Supported","CD-001 IM-001 and CV-001","Limited to the Ken French 49 value-weighted monthly portfolio definition"
"ISM-001 is deterministic and reproducible","Supported","IM-001 and CV-001","pytest was unavailable although standalone synthetic verification passed"
"ISM-001 has complete 49-industry coverage throughout history","Not supported","CV-001","Some post-warmup months contained fewer than 49 valid industries"
"ISM-001 represents rotating intermediate-horizon industry leadership and laggard states","Supported","MI-001 and HV-001","Descriptive mechanism evidence does not establish causality"
"All preregistered mechanism hypotheses are empirically supported","Supported","HV-001","Limited to the evaluated construct data and hypotheses"
"ISM-001 contains predictive information about future relative industry returns","Supported","PV-001","Limited to predefined 1 3 6 and 12-month horizons"
"ISM-001 provides economic utility under fixed industry-level workflows","Supported","EV-001","Workflow-specific and dependent on fixed monthly and 10 bps assumptions"
"The top-decile long-only workflow is consistently superior","Partially supported","EV-001","Annual outperformance frequency was 59 percent below the 60 percent criterion"
"The long-short workflow provides controlled downside risk","Not supported","EV-001","Historical maximum drawdown was severe"
"ISM-001 applies directly to individual stocks","Not supported","CD-001 through FSR-001","No point-in-time stock-to-industry mapping was defined or validated"
"ISM-001 is production ready","Not supported","CC-001 and FSR-001","No investable implementation capacity market-impact or live validation"
"ISM-001 is robust across alternative taxonomies and markets","Inconclusive","Known lifecycle limitation","Only the frozen Ken French U.S. industry definition was evaluated"
