Component,Previous Claim,Independent Status,Evidence,Problem Found,Severity,PAPER-002 Blocking?
Paper environment guard,PASS,VERIFIED,"engine/paper_risk_guards.py verify_environment accepts only https://paper-api.alpaca.markets; AlpacaBrokerAdapter __init__ rejects non-paper URL; offline live URL test returned False",None,NONE,NO
Fail-closed flags,PASS,PARTIALLY_VERIFIED,"PaperSafetyManager.check_kill_switch requires environment PAPER and both boolean flags True; tested FALSE/FALSE, TRUE/FALSE, FALSE/TRUE block; string 'false' did not pass",No central PAPER execution flag parser/controller found,MEDIUM,YES
Universe hash,PASS,PARTIALLY_VERIFIED,"FUF manifest universe_sha256 matches expected BC7879...; PaperSafetyManager rejects tampered and missing file",PaperSafetyManager accepts raw membership file SHA OR canonical manifest hash and does not independently recompute canonical FUF hash,MEDIUM,YES
Strategy hash,PASS,PARTIALLY_VERIFIED,"compute_strategy_hash is deterministic for supplied dict and changes when min_eligible changes",No frozen expected strategy hash registry; config coverage incomplete; step_04b spec contains DUMMYHASH,HIGH,YES
CSM implementation,PASS,VERIFIED,"research/implementations/csm_001 feature_pipeline.py computes close_t-21 / close_t-252 - 1; rank percentile >=0.90; minimum eligible 50; frozen parameter validation exists",None,NONE,NO
CSM candidate filtering,PASS,VERIFIED,"scripts/exb003_prepare_frozen_250.py target_portfolios filters csm001_top_decile_flag AND tsm001_positive_state; synthetic 25/0/1/reject cases passed; EXB-003 target file has 25 nonzero holdings per date",Duplicate symbol input is not blocked by target_portfolios,MEDIUM,YES
TSM implementation,PASS,VERIFIED,"research/implementations/tsm_001 feature_pipeline.py uses 252/21, threshold 0.0, POSITIVE when sign == 1.0; frozen parameter validation exists",None,NONE,NO
Target portfolio,PASS,PARTIALLY_VERIFIED,"Synthetic cases: 25 approved -> 25 nonzero, zero approved -> cash, TSM reject -> zero; EXB-003 target file nonselected_nonzero=0",Duplicate symbols can receive duplicate rows and sum of weights 2.0; no production callable target module found,HIGH,YES
Paper controller,PASS,NOT_IMPLEMENTED,"No engine/paper_trading_controller.py or equivalent CSMxTSM paper controller found by repository search",Only reports/specs reference controller readiness,CRITICAL,YES
Order intents,PASS,VERIFIED,"engine/alpaca_broker_adapter.py OrderIntent dataclass and build_order_intent exist; ALP-003 tests passed 22/22",No integrated paper controller invokes it,MEDIUM,YES
Client-order-ID,PASS,VERIFIED,"generate_client_order_id uses strategy_id, rebalance_id, symbol, side, sequence plus deterministic sha256 suffix; ALP-003 tests passed",No persistent uniqueness registry beyond broker/open-order reconciliation,MEDIUM,YES
Duplicate guard,PASS,PARTIALLY_VERIFIED,"validate_order_intent rejects same client_order_id in in-memory known_client_order_ids; ALP-003 duplicate test passed",In-memory only; process restart protection depends on open-order reconciliation but no integrated paper path found,HIGH,YES
Stale-intent guard,PASS,VERIFIED,"validate_order_intent calls _is_stale(signal_timestamp, now); stale synthetic ALP-003 test passed",No full valid execution window/rebalance calendar integration found,MEDIUM,YES
Position reconciliation,PASS,VERIFIED,"reconcile_positions handles match, quantity mismatch, missing broker, missing internal, empty state; ALP-003 tests passed; /v2/positions read PASS",Not connected to real paper controller,MEDIUM,YES
Order reconciliation,PASS,PARTIALLY_VERIFIED,"reconcile_orders maps broker status by client_order_id; open orders read PASS; ALP-003 intent-only test passed",No conflict same-symbol/manual/stale previous-session policy in executable path,HIGH,YES
Max position guard,PASS,PARTIALLY_VERIFIED,"engine/paper_risk_guards.py checks max_single_position_weight default 0.20; unit test covers exceedance",Default invented in PAPER-001; missing config does not fail closed because default silently applies; no execution-path invocation,MEDIUM,YES
Gross exposure guard,PASS,PARTIALLY_VERIFIED,"check_risk_guards sums abs target weights against 1.10; unit test covers exceedance",No execution-path invocation; duplicate symbols can make target sum invalid before guard if not called,HIGH,YES
Order notional guard,PASS,PARTIALLY_VERIFIED,"check_risk_guards checks one order_notional against 100000; unit test covers exceedance",No aggregate order notional check and no integrated invocation,MEDIUM,YES
Daily order count,PASS,PARTIALLY_VERIFIED,"check_risk_guards accepts daily_order_count and checks >50; unit test covers exceedance",No broker-history/session timezone count; restart can reset if not externally supplied,HIGH,YES
Buying power guard,PASS,PARTIALLY_VERIFIED,"check_buying_power required_notional <= available_buying_power; NaN tested False",Only aggregate works if caller passes aggregate; no account field fetch/aggregation in integrated paper controller,HIGH,YES
Market calendar,PASS,PARTIALLY_VERIFIED,"AlpacaBrokerAdapter.get_calendar exists and ALP-003 calendar read PASS; market_session_from_calendar uses calendar rows",No production scheduler/next-session execution path found; early-close timezone hard-coded -04:00 risk,MEDIUM,YES
Scheduler,PASS,FALSE_CLAIM,"No actual production callable CSMxTSM monthly paper scheduler found; step_04a_report is report-only",Previous PASS appears unsupported by executable implementation,CRITICAL,YES
T+1 timing,PASS,PARTIALLY_VERIFIED,"EXB-003 has next_trading_day helper and report claims T+1; no performance rerun performed",No Paper controller binds signal timestamp to next valid session,CRITICAL,YES
Data freshness,PASS,FALSE_CLAIM,"No executable data freshness guard found for per-symbol latest finalized daily bar; only reports mention PASS",Report-only claim,CRITICAL,YES
Eligibility,PASS,PARTIALLY_VERIFIED,"CSM implementation enforces minimum eligible count 50; EXB-003 eligibility reconfirmation exists",No PAPER launch controller blocks when current data eligible_count <50,CRITICAL,YES
Audit trail,PASS,PARTIALLY_VERIFIED,"AlpacaBrokerAdapter writes append-only CSV audit events for order-intent validation; ALP-003 audit exists",Step-4B audit trail appears spec-only; no durable Paper session audit module found,HIGH,YES
Incident handling,PASS,FALSE_CLAIM,"No executable incident handling module found; step_04b_incident_policy.md is a 40-byte spec placeholder",PASS unsupported,HIGH,YES
Health,PASS,FALSE_CLAIM,"No real health CLI/module found; step_04b_health_readiness_spec.md is a 35-byte spec placeholder",PASS unsupported,HIGH,YES
Readiness CLI,PASS,NOT_IMPLEMENTED,"scripts/paper_readiness_check.py not found; direct search found no equivalent CLI",STEP-1 missing item remains missing,CRITICAL,YES
Paper session ID,PASS,PARTIALLY_VERIFIED,"step_04b_paper_t0_spec.md has PAPER-20260813-001",Spec/static record only; no executable unique session ID generator found,HIGH,YES
PAPER_T0 mechanism,PASS,PARTIALLY_VERIFIED,"Reports state NOT_ESTABLISHED; no file indicates Paper T0 established",No executable authorization mechanism found; DUMMYHASH present in T0 spec,HIGH,YES
Scientific T0 separation,PASS,PARTIALLY_VERIFIED,"Reports preserve Scientific T0 NOT_ESTABLISHED",No programmatic separation mechanism found,MEDIUM,YES
End-to-end dry run,PASS,FALSE_CLAIM,"No actual CSMxTSM Paper dry-run entry point found; scripts/paper001_dry_run.py not found",Only disconnected ALP-003 and paper_safety_tests plus EXB-003 target generation exist,CRITICAL,YES
Regression tests,PASS,PARTIALLY_VERIFIED,"ALP-003 command passed 22/22; paper_safety_tests direct command failed import; with PYTHONPATH ran 7 tests OK",Claimed 12/12 not reproducible from current script; tests are shallow/disconnected,HIGH,YES
Artifact integrity,PASS,FALSE_CLAIM,"paper001_artifact_hashes.csv contains DUMMY hashes; actual hashes do not match; manifest only has program_id/status/decision",Artifact integrity PASS unsupported,HIGH,YES
Credential safety,NO leakage,PARTIALLY_VERIFIED,"Search excluding .env found variable names/placeholders only; .env is ignored by .gitignore; ALP-001 known exposure incident remains documented",Prior chat exposure requires key rotation; full secret scan limited to repository scope,MEDIUM,NO
