file,line,category,term,context_classification,line_text
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,25,forbidden_methods,regression,PROTOCOL_OR_REGISTRY_TEXT,| A5 | CPP-003 | Incremental Information | confirmatory | Does each construct add information beyond the rest? | nested regression/log-loss/R2 delta depending on preregistered target family; partial correlation; conditional mutual information | N >= 756 common aligned observations for multivariate e
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,25,forbidden_methods,conditional mutual information,PROTOCOL_OR_REGISTRY_TEXT,| A5 | CPP-003 | Incremental Information | confirmatory | Does each construct add information beyond the rest? | nested regression/log-loss/R2 delta depending on preregistered target family; partial correlation; conditional mutual information | N >= 756 common aligned observations for multivariate e
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,27,forbidden_methods,PCA,BOUNDARY_STATEMENT,"| A7 | CPP-004 | Redundancy and Orthogonality Classification | confirmatory | Which constructs are redundant, partially redundant, orthogonal, or inconclusive? | thresholded dependence; partial dependence; stability requirements; VIF/PCA diagnostics | Must pass CPP-001 eligibility | Uses corrected C"
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,28,forbidden_methods,PCA,PROTOCOL_OR_SCOPE_TEXT,| A8 | CPP-005 | Complementarity and Multivariate Information | confirmatory | Which construct combinations provide complementary information? | multivariate nested comparisons; group ablation on frozen outputs; PCA/factor loading; conditional information gain | N >= 756 common aligned observations 
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,28,forbidden_methods,group ablation,PROTOCOL_OR_SCOPE_TEXT,| A8 | CPP-005 | Complementarity and Multivariate Information | confirmatory | Which construct combinations provide complementary information? | multivariate nested comparisons; group ablation on frozen outputs; PCA/factor loading; conditional information gain | N >= 756 common aligned observations 
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,29,forbidden_methods,regression,PROTOCOL_OR_SCOPE_TEXT,"| A9 | CPP-006 | Lead-Lag Temporal Association | confirmatory | Do constructs systematically lead or lag each other temporally? | cross-correlation at lags [-60,-20,-5,0,5,20,60]; lagged regression association; Granger-style association if sample permits | N >= 756 aligned observations after lagging"
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,36,predictive,alpha,PROTOCOL_OR_REGISTRY_TEXT,- Primary significance level: `alpha = 0.05`.
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,47,causal,causality,BOUNDARY_STATEMENT,"CPP may not infer trading edge, profitability, production recommendations, or causality."
research\construct_comparison_program\cpp_000_5_comparison_protocol\cpp0005_comparison_protocol.md,47,economic,production recommendation,BOUNDARY_STATEMENT,"CPP may not infer trading edge, profitability, production recommendations, or causality."
research\construct_comparison_program\cpp_000_5_comparison_protocol\interpretation_standards.md,15,causal,cause,FORBIDDEN_EXAMPLE_TEXT,- Construct A causes Construct B.
research\construct_comparison_program\cpp_000_5_comparison_protocol\interpretation_standards.md,15,causal,causes,FORBIDDEN_EXAMPLE_TEXT,- Construct A causes Construct B.
research\construct_comparison_program\cpp_000_5_comparison_protocol\interpretation_standards.md,24,causal,causality,BOUNDARY_STATEMENT,"Use `temporal association`, not `causality`, unless a future causal identification design is explicitly preregistered."
research\construct_comparison_program\cpp_000_5_comparison_protocol\next_stage_goal_cpp001.md,52,forbidden_methods,regression,NEXT_STAGE_PROTOCOL_TEXT,"- run regression,"
research\construct_comparison_program\cpp_000_5_comparison_protocol\statistical_method_registry.md,17,forbidden_methods,PCA,BOUNDARY_STATEMENT,"| Multivariate | PCA/factor loading | confirmatory | Information structure and clustering, not construct replacement. |"
research\construct_comparison_program\cpp_000_5_comparison_protocol\statistical_method_registry.md,18,causal,causality,BOUNDARY_STATEMENT,"| Lead-lag | Cross-correlation over fixed lags | confirmatory | Temporal association only, not causality. |"
research\construct_comparison_program\cpp_000_program_charter\cpp000_program_charter.md,25,predictive,forecasting,PROTOCOL_OR_REGISTRY_TEXT,| MR-001 | Market Regime | Risk Forecasting Construct | High | FROZEN_VERIFIED | FSR exists in nonstandard program_reports/fsr_001 location rather than final_scientific_reviews/mr_001. |
research\construct_comparison_program\cpp_000_program_charter\cpp000_program_charter.md,27,predictive,forecasting,PROTOCOL_OR_REGISTRY_TEXT,| VOL-001 | Volatility | Volatility State / Risk Forecasting Construct | High | FROZEN_VERIFIED | Standard FSR location available. |
research\construct_comparison_program\cpp_000_program_charter\cpp000_program_charter.md,72,predictive,alpha,BOUNDARY_STATEMENT,"| No alpha discovery | ACTIVE | CPP does not search for alpha, trading signals, entries, exits, or portfolio strategies. |"
research\construct_comparison_program\cpp_000_program_charter\frozen_evidence_registry.md,9,predictive,forecasting,PROTOCOL_OR_REGISTRY_TEXT,| MR-001 | Market Regime | Risk Forecasting Construct | High | FROZEN_VERIFIED | FSR exists in nonstandard program_reports/fsr_001 location rather than final_scientific_reviews/mr_001. |
research\construct_comparison_program\cpp_000_program_charter\frozen_evidence_registry.md,11,predictive,forecasting,PROTOCOL_OR_REGISTRY_TEXT,| VOL-001 | Volatility | Volatility State / Risk Forecasting Construct | High | FROZEN_VERIFIED | Standard FSR location available. |
research\construct_comparison_program\cpp_000_program_charter\methodological_boundaries.md,30,economic,production recommendation,BOUNDARY_STATEMENT,- Treating incremental information as production recommendation.
research\construct_comparison_program\cpp_000_program_charter\program_scope.md,19,predictive,alpha,PROTOCOL_OR_SCOPE_TEXT,- Alpha discovery.
research\construct_comparison_program\cpp_000_program_charter\program_scope.md,21,economic,production recommendation,PROTOCOL_OR_SCOPE_TEXT,- Production recommendations.
research\construct_comparison_program\cpp_001_data_inventory\common_sample_report.md,5,predictive,alpha,BOUNDARY_STATEMENT,"This report audits exact-date alignment across the eight frozen construct output series. No dependence, redundancy, hierarchy, return, alpha, or economic conclusions are computed."
