Audit Finding ID,Audit Finding,Original Severity,Confirmed?,Root Cause,Files Changed,Production Path Connected?,Test Added,Test Result,Resolved?,Residual Risk,PAPER-002 Blocking?
P001R-C01,No complete CSM x TSM Paper controller,CRITICAL,YES,Missing orchestration module,"engine/paper_trading_controller.py;scripts/paper_end_to_end_dry_run.py",PARTIAL,test_normal_controller_dry_run,PASS,PARTIAL,"Controller uses frozen EXB-003 target snapshot, not live market-data -> CSM -> TSM recomputation",YES
P001R-C02,No actual end-to-end Paper path,CRITICAL,YES,Disconnected components,"engine/paper_trading_controller.py;scripts/paper_end_to_end_dry_run.py",PARTIAL,test_reproducibility_core_fields,PASS,PARTIAL,"Dry-run path reaches broker read/reconcile/intents/risk/submission boundary, but signal generation is target-snapshot based",YES
P001R-C03,No readiness CLI,CRITICAL,YES,Missing script,scripts/paper_readiness_check.py,YES,test_normal_controller_dry_run,PASS,YES,"Readiness depends on same partial controller limitation",YES
P001R-C04,No scheduler/T+1 timing path,CRITICAL,YES,Report-only claim,engine/paper_trading_controller.py,PARTIAL,test_normal_controller_dry_run,PASS,PARTIAL,"Calendar/session is checked; full monthly live scheduler daemon not implemented",YES
P001R-C05,No data freshness guard,CRITICAL,YES,Report-only claim,engine/paper_trading_controller.py,PARTIAL,test_normal_controller_dry_run,PASS,PARTIAL,"Snapshot integrity checked; per-symbol current daily bar freshness not implemented",YES
P001R-C06,No eligibility launch guard,CRITICAL,YES,No controller call site,engine/paper_trading_controller.py,YES,"test_eligibility_49_blocks;test_eligibility_50_passes",PASS,YES,"Eligibility based on target snapshot row count",YES
P001R-C07,No end-to-end dry-run CLI,CRITICAL,YES,Missing script,scripts/paper_end_to_end_dry_run.py,YES,test_reproducibility_core_fields,PASS,YES,"Same signal-generation limitation remains",YES
P001R-H01,Duplicate target symbols can corrupt weights,HIGH,YES,No duplicate guard,"engine/paper_trading_controller.py;scripts/paper_safety_tests.py",YES,test_duplicate_target_blocks,PASS,YES,None,NO
P001R-H02,Placeholder artifact hashes,HIGH,YES,Placeholder final artifact registry,paper001r_artifact_hashes.csv,YES,artifact_hash_generation,PASS,YES,None,NO
P001R-H03,Placeholder strategy hash,HIGH,YES,Static placeholder spec,engine/paper_risk_guards.py,YES,"test_strategy_hash_stable;test_strategy_hash_changes_on_threshold;test_strategy_hash_changes_on_timing",PASS,YES,None,NO
P001R-H04,Risk guards standalone only,HIGH,YES,No controller call site,"engine/paper_trading_controller.py;engine/paper_risk_guards.py",YES,"test_overweight_risk_blocks;test_gross_exposure_blocks;test_order_notional_blocks;test_daily_order_count_blocks",PASS,YES,None,NO
P001R-H05,Aggregate buying power missing,HIGH,YES,Single-order style check only,"engine/paper_trading_controller.py;engine/paper_risk_guards.py",YES,test_aggregate_buying_power_blocks,PASS,YES,None,NO
P001R-H06,Position reconciliation disconnected,HIGH,YES,No controller call site,engine/paper_trading_controller.py,YES,test_unexpected_position_blocks,PASS,YES,None,NO
P001R-H07,Order reconciliation disconnected,HIGH,YES,No controller call site,engine/paper_trading_controller.py,YES,test_normal_controller_dry_run,PASS,YES,"Conflict same-symbol/manual policy remains basic",NO
P001R-H08,Audit trail report-only,HIGH,YES,No durable Paper audit path,engine/paper_trading_controller.py,YES,test_audit_append_survives_restart,PASS,YES,None,NO
P001R-H09,Incident handling report-only,HIGH,YES,No incident module,engine/paper_trading_controller.py,YES,test_incident_created,PASS,YES,None,NO
P001R-H10,PAPER tests direct execution failed,HIGH,YES,Missing repo root path bootstrap,scripts/paper_safety_tests.py,YES,canonical_test_command,PASS,YES,"Requires venv Python because project dependencies live there",NO
P001R-H11,Duplicate order protection restart weakness,HIGH,YES,In-memory known ids only,engine/paper_trading_controller.py,PARTIAL,test_reproducibility_core_fields,PASS,PARTIAL,"Open-order reconciliation is connected; durable local intent registry not implemented",YES
P001R-H12,Paper session ID only static spec,HIGH,YES,No generator,engine/paper_trading_controller.py,YES,test_paper_t0_not_established,PASS,YES,"Session id is date-level dry-run identity",NO
P001R-H13,Health/readiness static PASS,HIGH,YES,No computed health result,engine/paper_trading_controller.py,YES,test_normal_controller_dry_run,PASS,YES,None,NO
P001R-H14,Artifact manifest incomplete,HIGH,YES,Minimal manifest,paper001r_manifest.json,YES,artifact_hash_generation,PASS,YES,None,NO
