criterion,weight,definition,raw_weight_before_normalization
scientific_evidence_strength,0.10909090909090907,Depth and durability of published scientific evidence for the mechanism family.,0.12
independent_replication_quality,0.0818181818181818,"Evidence across independent samples, markets, authors, and time periods.",0.09
theoretical_maturity,0.06363636363636364,Maturity of explanatory theories and known failure modes.,0.07
mechanism_clarity,0.06363636363636364,Clarity of the proposed behavioral/risk/institutional mechanism.,0.07
constructability_score,0.07272727272727272,Ability to transform the mechanism into a precise research construct.,0.08
rule_based_representability,0.054545454545454536,Ability to express the construct deterministically without model discretion.,0.06
public_data_availability,0.07272727272727272,Availability of point-in-time or reproducible public data.,0.08
long_only_compatibility,0.045454545454545456,Compatibility with long-only equity research without requiring short portfolios.,0.05
lookahead_safety,0.06363636363636364,Risk that implementation requires information unavailable at decision time.,0.07
parameter_robustness,0.054545454545454536,Expected sensitivity to arbitrary thresholds or narrow parameter choices.,0.06
reproducibility,0.06363636363636364,Practical reproducibility across independent researchers.,0.07
out_of_sample_evidence,0.054545454545454536,Strength of evidence outside original samples or definitions.,0.06
implementation_complexity,0.045454545454545456,Lower complexity receives higher score.,0.05
research_value,0.06363636363636364,Expected scientific information gain for MEDP.,0.07
incremental_value_relative_to_risk_constructs,0.045454545454545456,"Expected conceptual information beyond validated risk constructs, without claiming proven independence.",0.05
future_integration_potential,0.045454545454545456,Potential to integrate later with risk constructs while preserving phase boundaries.,0.05
