claim_id,claim,classification,evidence_sources,evidence_summary,scope_boundary
C1,Market Liquidity is a scientifically recognized standalone construct,Supported by evidence,"RP-001; LR-001","Liquidity is supported in the literature as distinct from volatility market regime momentum and volume.","Scientific relevance only; no predictive or economic claim."
C2,LIQ-001 faithfully operationalizes an Amihud-style aggregate daily illiquidity proxy,Supported by evidence,"CD-001; IM-001","Construct was frozen as abs(log return)/dollar volume aggregated by cross-sectional median and implemented deterministically.","Only this daily OHLCV-based proxy; not full liquidity."
C3,LIQ-001 is internally coherent as a daily aggregate illiquidity measure,Partially supported,"CV-001","Schema coverage warmup behavior and stress-date plausibility were supported; capped symbol universe limits strength.","Construct validation only."
C4,LIQ-001 represents aggregate price-impact liquidity stress,Partially supported,"MI-001; HV-001","High LIQ-001 periods align with higher volatility larger absolute moves deeper drawdown context and MR-001 STRESS overlap.","Explanatory association; not causality."
C5,LIQ-001 contains predictive information about future realized volatility,Supported by evidence,"PV-001","Future realized-volatility information coefficients were positive across preregistered horizons.","Predictive risk information only; no trading return claim."
C6,LIQ-001 contains predictive information about future absolute market movement,Supported by evidence,"PV-001","Future absolute-move information coefficients were positive across preregistered horizons.","Predictive risk information only."
C7,LIQ-001 contains predictive information about future drawdown risk,Partially supported,"PV-001","Drawdown-risk signal was positive but materially weaker than volatility and MR-STRESS occurrence evidence.","Partial risk signal only."
C8,LIQ-001 contains predictive information about future MR-001 STRESS occurrence,Supported by evidence,"PV-001","MR-STRESS occurrence classification showed strong AUC evidence across horizons.","Dependent on existing MR-001 construct definition."
C9,LIQ-001 provides economic utility in predefined risk-management workflows,Partially supported,"EV-001","Economic utility was strongest for regime-aware portfolio risk control and partial for risk budgeting volatility targeting and hedge activation.","Only evaluated use cases; not universal."
C10,LIQ-001 is a standalone alpha factor,Not supported,"EV-001; CC-001","Alpha generation and directional return superiority were not evaluated and cannot be inferred.","No alpha claim permitted."
C11,LIQ-001 is an exact execution-cost or order-book liquidity model,Not supported,"CD-001; CC-001","The construct intentionally excludes spreads order-book depth intraday immediacy and resiliency.","Daily aggregate proxy only."
C12,LIQ-001 is ready as a completed scientific construct within the V3.0 framework,Supported by evidence,"RP-001 through CC-001","The construct completed the full lifecycle through classification and has a coherent evidence profile.","Completed construct; still limited by data scope and proxy assumptions."
