claim,classification,supporting_stages,notes
Options-implied volatility is a valid research priority.,Supported by evidence,"RP-001, LR-001","Options-implied information is mature, distinct, and widely studied."
OPT-001 is precisely defined and reproducible.,Supported by evidence,"CD-001, IM-001",Frozen VIXCLS source; deterministic 252-valid-observation z-score and percentile outputs.
OPT-001 is construct-valid as a VIXCLS-based option-implied volatility state sensor.,Supported by evidence,CV-001,"Coherent state statistics, explicit data quality flags, and reproducible outputs."
OPT-001 represents index option-implied uncertainty / expected volatility state.,Supported by evidence,"MI-001, HV-001","High states align with realized turbulence, wider ranges, deeper drawdown context, and stress clustering."
OPT-001 measures pure expected volatility separated from volatility risk premium or fear/risk aversion.,Not supported,"MI-001, HV-001",VIXCLS alone cannot decompose option-implied volatility into pure subcomponents.
OPT-001 contains predictive information for future realized volatility.,Supported by evidence,PV-001,Predictive metrics exceeded predefined statistical baselines across horizons.
OPT-001 contains predictive information for future absolute market movement.,Supported by evidence,PV-001,Supported across predefined horizons.
OPT-001 contains predictive information for future drawdown risk.,Supported by evidence,PV-001,Supported in PV-001 under predefined metrics.
OPT-001 contains robust directional return prediction.,Inconclusive,PV-001,"Small positive associations observed, but not sufficient for directional or alpha interpretation."
OPT-001 has economic utility in predefined risk-management workflows.,Partially supported,EV-001,Risk budgeting and drawdown control supported; volatility targeting and hedge activation partial.
OPT-001 is a standalone alpha signal or complete trading system.,Not supported,"PV-001, EV-001, CC-001",No completed stage supports standalone alpha or complete production trading use.
OPT-001 is scientifically mature as a risk sensor.,Supported by evidence,CC-001,Completed lifecycle with high scientific maturity classification.
