candidate,criterion,weight,score,evidence_label,basis
Cross-Sectional Momentum,scientific_evidence_strength,0.10909090909090907,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,independent_replication_quality,0.0818181818181818,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,theoretical_maturity,0.06363636363636364,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,mechanism_clarity,0.06363636363636364,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,constructability_score,0.07272727272727272,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,rule_based_representability,0.054545454545454536,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,public_data_availability,0.07272727272727272,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,long_only_compatibility,0.045454545454545456,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,lookahead_safety,0.06363636363636364,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,parameter_robustness,0.054545454545454536,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,reproducibility,0.06363636363636364,5,VERY_STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,out_of_sample_evidence,0.054545454545454536,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
Cross-Sectional Momentum,implementation_complexity,0.045454545454545456,4,STRONG,"Existing LR-001 identifies medium-horizon cross-sectional momentum as the strongest academic equity momentum evidence base. It is highly constructable through fixed universe ranking, public price data, deterministic sorting, and strong reproducibility. It is conceptually distinct from the validated risk-state constructs, though CPP did not prove incremental information."
