claim_id,claim,classification,evidence_sources,evidence_summary,scope_boundary
C1,Market Volatility is a scientifically recognized standalone construct,Supported by evidence,"RP-001; LR-001","Volatility is strongly supported as a fundamental construct in finance econometrics derivatives and risk management.","Scientific relevance only; no predictive or economic claim."
C2,VOL-001 faithfully operationalizes a Yang-Zhang daily realized volatility-state proxy,Supported by evidence,"CD-001; IM-001","Construct was frozen as SPY daily OHLC Yang-Zhang volatility with 20-day volatility and 252-day state normalization.","Only this daily SPY Yang-Zhang construct."
C3,VOL-001 is internally coherent as a daily volatility-state measure,Supported by evidence,"CV-001","Schema warmup percentile bounds and stress-date alignment were supported.","Construct validation only."
C4,VOL-001 represents realized market turbulence,Supported by evidence,"MI-001; HV-001","High states show larger daily overnight open-to-close and range-based components plus persistence.","Explanatory association; not causality."
C5,VOL-001 contains predictive information about future realized volatility,Supported by evidence,"PV-001","Future realized-volatility Spearman ICs were positive across 5 20 and 60 day horizons.","Predictive risk information only; no trading return claim."
C6,VOL-001 contains predictive information about future absolute market movement,Supported by evidence,"PV-001","Future absolute-move Spearman ICs were positive across preregistered horizons.","Predictive risk information only."
C7,VOL-001 contains predictive information about future high-volatility state occurrence,Supported by evidence,"PV-001","Future high-volatility occurrence AUCs were above random baseline across horizons.","Binary risk-state occurrence only."
C8,VOL-001 contains predictive information about future drawdown risk,Inconclusive,"PV-001","Drawdown-risk ICs were positive but too small for supported classification.","Not sufficient as drawdown predictor."
C9,VOL-001 provides economic utility in predefined risk-management workflows,Partially supported,"EV-001","UC-1 and UC-4 were supported UC-2 partially supported and UC-3 not supported.","Only evaluated use cases; not universal."
C10,VOL-001 is a standalone alpha factor,Not supported,"EV-001; CC-001","Alpha generation and directional return superiority were not evaluated and cannot be inferred.","No alpha claim permitted."
C11,VOL-001 is an implied volatility or VIX substitute,Not supported,"CD-001; CC-001","The construct intentionally excludes options data and implied volatility.","Daily realized volatility only."
C12,VOL-001 is ready as a completed scientific construct within the V3.0 framework,Supported by evidence,"RP-001 through CC-001","The construct completed the full lifecycle through classification and has a coherent evidence profile.","Completed construct; still limited by proxy and historical validation assumptions."
